공고번호,주택명,공급지역코드,공급지역명,공급위치우편번호,공급위치,공급규모,모집공고일,청약접수시작일,청약접수종료일,당첨자발표일,투기과열지구,조정대상지역,분양가상한제,정비사업,공공주택지구,대규모택지개발지구,수도권내민영공공주택지구,주택형,공급세대수,순위,거주지역,접수건수,경쟁률,최저당첨가점,최고당첨가점,평균당첨가점,전용면적,평면유형,미달여부,공급금액(최고가 기준),위도,경도,행정동코드,법정동코드,시도,시군구,읍면동1,읍면동2,전용면적당 공급금액(최고가기준),전용면적당 시세차익
2024000718,더샵 퍼스트월드,100,서울,2151,서울특별시 중랑구 상봉동 83-1번지 일원,800,2024-12-13,2024-12-24,2024-12-27,2025-01-03,N,N,N,Y,N,N,N,039.9450A,10,1순위,해당지역,132,13.2,55,81,64.5,39,A,N,587000000.0,37.5958891997846,127.092025167035,1126059000.0,1126010200.0,서울,중랑구,상봉2동,상봉동,15051282.051282052,15050296.265447816
2024000718,더샵 퍼스트월드,100,서울,2151,서울특별시 중랑구 상봉동 83-1번지 일원,800,2024-12-13,2024-12-24,2024-12-27,2025-01-03,N,N,N,Y,N,N,N,039.9450A,10,1순위,기타지역,28,0.0,-,-,-,39,A,Y,587000000.0,37.5958891997846,127.092025167035,1126059000.0,1126010200.0,서울,중랑구,상봉2동,상봉동,15051282.051282052,15050296.265447816
2024000718,더샵 퍼스트월드,100,서울,2151,서울특별시 중랑구 상봉동 83-1번지 일원,800,2024-12-13,2024-12-24,2024-12-27,2025-01-03,N,N,N,Y,N,N,N,039.9450A,10,2순위,해당지역,0,0.0,0,0,0,39,A,Y,587000000.0,37.5958891997846,127.092025167035,1126059000.0,1126010200.0,서울,중랑구,상봉2동,상봉동,15051282.051282052,15050296.265447816
2024000718,더샵 퍼스트월드,100,서울,2151,서울특별시 중랑구 상봉동 83-1번지 일원,800,2024-12-13,2024-12-24,2024-12-27,2025-01-03,N,N,N,Y,N,N,N,039.9450A,10,2순위,기타지역,0,0.0,-,-,-,39,A,Y,587000000.0,37.5958891997846,127.092025167035,1126059000.0,1126010200.0,서울,중랑구,상봉2동,상봉동,15051282.051282052,15050296.265447816
2024000718,더샵 퍼스트월드,100,서울,2151,서울특별시 중랑구 상봉동 83-1번지 일원,800,2024-12-13,2024-12-24,2024-12-27,2025-01-03,N,N,N,Y,N,N,N,039.9328B,15,1순위,해당지역,217,14.47,51,64,56,39,B,N,575000000.0,37.5958891997846,127.092025167035,1126059000.0,1126010200.0,서울,중랑구,상봉2동,상봉동,14743589.743589744,14742603.957755508
2024000718,더샵 퍼스트월드,100,서울,2151,서울특별시 중랑구 상봉동 83-1번지 일원,800,2024-12-13,2024-12-24,2024-12-27,2025-01-03,N,N,N,Y,N,N,N,039.9328B,15,1순위,기타지역,52,0.0,-,-,-,39,B,Y,575000000.0,37.5958891997846,127.092025167035,1126059000.0,1126010200.0,서울,중랑구,상봉2동,상봉동,14743589.743589744,14742603.957755508
2024000718,더샵 퍼스트월드,100,서울,2151,서울특별시 중랑구 상봉동 83-1번지 일원,800,2024-12-13,2024-12-24,2024-12-27,2025-01-03,N,N,N,Y,N,N,N,039.9328B,15,2순위,해당지역,0,0.0,0,0,0,39,B,Y,575000000.0,37.5958891997846,127.092025167035,1126059000.0,1126010200.0,서울,중랑구,상봉2동,상봉동,14743589.743589744,14742603.957755508
2024000718,더샵 퍼스트월드,100,서울,2151,서울특별시 중랑구 상봉동 83-1번지 일원,800,2024-12-13,2024-12-24,2024-12-27,2025-01-03,N,N,N,Y,N,N,N,039.9328B,15,2순위,기타지역,0,0.0,-,-,-,39,B,Y,575000000.0,37.5958891997846,127.092025167035,1126059000.0,1126010200.0,서울,중랑구,상봉2동,상봉동,14743589.743589744,14742603.957755508
2024000718,더샵 퍼스트월드,100,서울,2151,서울특별시 중랑구 상봉동 83-1번지 일원,800,2024-12-13,2024-12-24,2024-12-27,2025-01-03,N,N,N,Y,N,N,N,044.9648A,11,1순위,해당지역,362,32.91,59,69,64,44,A,N,655000000.0,37.5958891997846,127.092025167035,1126059000.0,1126010200.0,서울,중랑구,상봉2동,상봉동,14886363.636363637,14885377.8505294
2024000718,더샵 퍼스트월드,100,서울,2151,서울특별시 중랑구 상봉동 83-1번지 일원,800,2024-12-13,2024-12-24,2024-12-27,2025-01-03,N,N,N,Y,N,N,N,044.9648A,11,1순위,기타지역,81,0.0,-,-,-,44,A,Y,655000000.0,37.5958891997846,127.092025167035,1126059000.0,1126010200.0,서울,중랑구,상봉2동,상봉동,14886363.636363637,14885377.8505294
