법정동,계약년도,계약월,평당가격,지역
가양동,2024,6,1387.2559090909092,서울
가양동,2024,7,1391.441875,서울
가양동,2024,8,1469.1324444444447,서울
가양동,2024,9,1278.2358823529412,서울
가양동,2024,10,1362.342,서울
가양동,2024,11,1368.328,서울
가양동,2024,12,1327.5239130434782,서울
가양동,2025,1,1393.3744,서울
가양동,2025,2,1419.7857142857142,서울
갈월동,2020,3,972.22,서울
갈월동,2024,4,1313.25,서울
갈월동,2024,5,1579.71,서울
갈현동,2020,1,589.943,서울
갈현동,2020,2,683.5545714285714,서울
갈현동,2020,3,616.4525,서울
갈현동,2020,4,576.5083333333333,서울
갈현동,2020,5,591.6016666666667,서울
갈현동,2020,6,577.0721052631578,서울
갈현동,2020,7,577.1476923076923,서울
갈현동,2020,8,657.12,서울
갈현동,2020,9,657.868,서울
갈현동,2020,10,542.451,서울
갈현동,2020,11,644.7772222222222,서울
갈현동,2020,12,587.135,서울
갈현동,2021,1,679.74,서울
갈현동,2021,2,591.4833333333333,서울
갈현동,2021,3,740.2471428571428,서울
갈현동,2021,4,666.0466666666666,서울
갈현동,2021,5,858.505,서울
갈현동,2021,6,799.78375,서울
갈현동,2021,7,839.838,서울
갈현동,2021,8,678.34,서울
갈현동,2021,9,578.2725,서울
갈현동,2021,10,803.2516666666667,서울
갈현동,2021,11,844.07,서울
갈현동,2021,12,845.745,서울
갈현동,2022,1,677.31,서울
갈현동,2022,2,548.87,서울
갈현동,2022,3,684.6053225806452,서울
갈현동,2022,4,716.1,서울
갈현동,2022,5,723.7075,서울
갈현동,2022,6,777.5300000000001,서울
갈현동,2022,7,708.96,서울
갈현동,2022,8,581.005,서울
갈현동,2022,9,762.715,서울
갈현동,2022,11,594.895,서울
갈현동,2022,12,627.12,서울
갈현동,2023,1,550.865,서울
갈현동,2023,2,579.645,서울
갈현동,2023,3,614.4466666666667,서울
갈현동,2023,4,675.04,서울
갈현동,2023,5,571.7375,서울
갈현동,2023,6,518.94,서울
갈현동,2023,7,509.986,서울
갈현동,2023,8,631.54,서울
갈현동,2023,9,654.03,서울
갈현동,2023,10,622.7180000000001,서울
갈현동,2023,11,847.46,서울
갈현동,2023,12,751.0575,서울
갈현동,2024,1,783.05,서울
갈현동,2024,2,695.7325,서울
갈현동,2024,3,658.118,서울
갈현동,2024,4,1022.9671428571429,서울
갈현동,2024,5,620.0966666666667,서울
갈현동,2024,6,582.21,서울
갈현동,2024,7,786.3871428571429,서울
갈현동,2024,8,750.0,서울
갈현동,2024,9,765.9399999999999,서울
갈현동,2024,10,1166.3233333333333,서울
갈현동,2024,11,993.55375,서울
갈현동,2024,12,877.5583333333334,서울
갈현동,2025,1,744.28,서울
갈현동,2025,2,1131.3866666666665,서울
강일동,2020,1,1006.91,서울
강일동,2020,2,1020.4399999999999,서울
강일동,2020,3,938.4933333333333,서울
강일동,2020,4,1013.1675,서울
강일동,2020,5,1016.4590909090908,서울
강일동,2020,6,1036.5308333333332,서울
강일동,2020,7,1085.7959375,서울
강일동,2020,8,1065.4666666666667,서울
강일동,2020,9,1118.202857142857,서울
강일동,2020,10,1142.1775,서울
강일동,2020,11,1143.7673333333332,서울
강일동,2020,12,1240.3084,서울
강일동,2021,1,1245.7471428571428,서울
강일동,2021,2,1215.0166666666667,서울
강일동,2021,3,1378.3566666666666,서울
강일동,2021,4,1320.4366666666667,서울
강일동,2021,5,1413.57,서울
강일동,2021,6,1440.7666666666667,서울
