법정동,계약년도,계약월,평당가격,지역
가사동,2023,4,419.4188888888889,경기
가사동,2023,5,422.03,경기
가사동,2023,6,460.20500000000004,경기
가사동,2023,7,438.985,경기
가사동,2023,8,450.84999999999997,경기
가사동,2023,9,468.43333333333334,경기
가사동,2023,10,462.06,경기
가사동,2023,12,500.0,경기
가사동,2024,1,434.7733333333333,경기
가사동,2024,2,433.9,경기
가사동,2024,3,434.565,경기
가사동,2024,4,423.73,경기
가사동,2024,5,445.95,경기
가사동,2024,6,419.49,경기
가사동,2024,7,419.7733333333333,경기
가사동,2024,8,411.01750000000004,경기
가사동,2024,9,409.42,경기
가사동,2024,10,415.255,경기
가사동,2024,11,408.9825,경기
가사동,2024,12,422.88,경기
가사동,2025,2,403.242,경기
가산면 마산리,2021,3,198.72,경기
가산면 마산리,2021,7,188.46,경기
가산면 마산리,2022,5,217.95,경기
가산면 마산리,2024,3,215.38,경기
가산면 마산리,2024,7,182.055,경기
가수동,2020,1,196.789,경기
가수동,2020,2,202.3375,경기
가수동,2020,3,201.32416666666666,경기
가수동,2020,4,209.78714285714287,경기
가수동,2020,5,216.623125,경기
가수동,2020,6,220.11888888888888,경기
가수동,2020,7,226.62722222222223,경기
가수동,2020,8,230.66999999999996,경기
가수동,2020,9,229.22142857142856,경기
가수동,2020,10,227.25,경기
가수동,2020,11,230.028125,경기
가수동,2020,12,242.76100000000002,경기
가수동,2021,1,280.5733333333333,경기
가수동,2021,2,276.967,경기
가수동,2021,3,301.61769230769227,경기
가수동,2021,4,311.30894736842106,경기
가수동,2021,5,337.50888888888886,경기
가수동,2021,6,365.0225,경기
가수동,2021,7,373.77799999999996,경기
가수동,2021,8,383.67428571428576,경기
가수동,2021,9,442.4318181818182,경기
가수동,2021,10,446.2633333333333,경기
가수동,2021,11,450.604,경기
가수동,2021,12,450.80375000000004,경기
가수동,2022,1,510.255,경기
가수동,2022,2,418.5466666666666,경기
가수동,2022,3,418.2642857142857,경기
가수동,2022,4,444.48583333333335,경기
가수동,2022,5,375.0,경기
가수동,2022,6,443.375,경기
가수동,2022,7,351.19,경기
가수동,2022,8,386.1475,경기
가수동,2022,9,351.19,경기
가수동,2022,11,383.16333333333336,경기
가수동,2022,12,321.43,경기
가수동,2023,1,313.095,경기
가수동,2023,2,331.6544444444445,경기
가수동,2023,3,325.92555555555555,경기
가수동,2023,4,321.56,경기
가수동,2023,5,338.165,경기
가수동,2023,6,329.5775,경기
가수동,2023,7,346.15,경기
가수동,2023,8,346.7816666666667,경기
가수동,2023,9,326.43,경기
가수동,2023,10,315.952,경기
가수동,2023,11,357.2042857142857,경기
가수동,2023,12,363.945,경기
가수동,2024,1,321.38,경기
가수동,2024,2,320.83500000000004,경기
가수동,2024,3,335.12,경기
가수동,2024,4,345.148,경기
가수동,2024,5,312.62,경기
가수동,2024,6,329.782,경기
가수동,2024,7,354.42,경기
가수동,2024,8,357.434,경기
가수동,2024,9,360.8975,경기
가수동,2024,10,341.6666666666667,경기
가수동,2024,11,347.40999999999997,경기
가수동,2024,12,326.67333333333335,경기
가수동,2025,1,309.52,경기
가수동,2025,2,328.075,경기
가재동,2020,1,179.16500000000002,경기
가재동,2020,2,181.55,경기
가재동,2020,3,181.55,경기
