공급지역코드,투기과열지구,조정대상지역,분양가상한제,정비사업,공공주택지구,대규모택지개발지구,수도권내민영공공주택지구,순위,거주지역,접수건수,경쟁률,최저당첨가점,토픽 1,토픽 2,토픽 3,토픽 4,토픽 5,토픽 6,토픽 7,전용면적,공급금액(최고가 기준),법정동코드,전용면적당 시세차익
400,N,N,N,N,N,N,N,1순위,해당지역,762,19.54,48.0,0.0149666666666666,0.0434333333333333,0.2623999999999999,0.1469,0.2583,0.0012666666666666,0.2727666666666666,71.79,628000000.0,2818510100.0,8747365.44714436
400,N,N,N,N,N,N,N,1순위,해당지역,148,13.45,37.0,0.0149666666666666,0.0434333333333333,0.2623999999999999,0.1469,0.2583,0.0012666666666666,0.2727666666666666,71.68,621000000.0,2818510100.0,8663133.45788501
400,N,N,N,N,N,N,N,1순위,해당지역,0,19.23,52.0,0.0149666666666666,0.0434333333333333,0.2623999999999999,0.1469,0.2583,0.0012666666666666,0.2727666666666666,84.91,710000000.0,2818510100.0,8361423.835196283
400,N,N,N,N,N,N,N,1순위,해당지역,300,6.98,37.0,0.0149666666666666,0.0434333333333333,0.2623999999999999,0.1469,0.2583,0.0012666666666666,0.2727666666666666,84.82,705000000.0,2818510100.0,8311347.927812927
400,N,N,N,N,N,N,N,1순위,해당지역,193,5.36,37.0,0.0149666666666666,0.0434333333333333,0.2623999999999999,0.1469,0.2583,0.0012666666666666,0.2727666666666666,84.97,708000000.0,2818510100.0,8331981.588632839
400,N,N,N,N,N,N,N,1순위,해당지역,893,49.61,60.0,0.0149666666666666,0.0434333333333333,0.2623999999999999,0.1469,0.2583,0.0012666666666666,0.2727666666666666,84.96,711000000.0,2818510100.0,8368273.061395909
400,N,N,N,N,N,N,N,1순위,해당지역,235,11.75,44.0,0.0149666666666666,0.0434333333333333,0.2623999999999999,0.1469,0.2583,0.0012666666666666,0.2727666666666666,84.98,709000000.0,2818510100.0,8342768.555849238
400,N,N,N,N,N,N,N,1순위,해당지역,0,9.49,50.0,0.0149666666666666,0.0434333333333333,0.2623999999999999,0.1469,0.2583,0.0012666666666666,0.2727666666666666,59.92,559000000.0,2818510100.0,9328734.467564585
400,N,N,N,N,N,N,N,1순위,해당지역,197,9.85,44.0,0.0149666666666666,0.0434333333333333,0.2623999999999999,0.1469,0.2583,0.0012666666666666,0.2727666666666666,59.89,552000000.0,2818510100.0,9216526.639283052
400,N,N,N,N,N,N,N,1순위,해당지역,26,13.0,32.0,0.0149666666666666,0.0434333333333333,0.2623999999999999,0.1469,0.2583,0.0012666666666666,0.2727666666666666,68.37,584000000.0,2818510100.0,8541387.074628988
400,N,N,N,N,N,N,N,1순위,해당지역,0,12.01,50.0,0.0149666666666666,0.0434333333333333,0.2623999999999999,0.1469,0.2583,0.0012666666666666,0.2727666666666666,71.85,639000000.0,2818510100.0,8893157.177315373
