공급규모,투기과열지구,조정대상지역,분양가상한제,정비사업,공공주택지구,공급세대수,순위,접수건수,경쟁률,최저당첨가점,토픽 1,토픽 2,토픽 3,토픽 4,토픽 5,토픽 6,토픽 7,법정동코드,시세차익
706,N,N,N,N,N,43,1순위,300,6.98,37.0,0.0149666666666666,0.0434333333333333,0.2623999999999999,0.1469,0.2583,0.0012666666666666,0.2727666666666666,2818510100.0,704968531.2370925
706,N,N,N,N,N,36,1순위,193,5.36,37.0,0.0149666666666666,0.0434333333333333,0.2623999999999999,0.1469,0.2583,0.0012666666666666,0.2727666666666666,2818510100.0,707968475.5861323
706,N,N,N,N,N,18,1순위,893,49.61,60.0,0.0149666666666666,0.0434333333333333,0.2623999999999999,0.1469,0.2583,0.0012666666666666,0.2727666666666666,2818510100.0,710968479.2961963
706,N,N,N,N,N,20,1순위,235,11.75,44.0,0.0149666666666666,0.0434333333333333,0.2623999999999999,0.1469,0.2583,0.0012666666666666,0.2727666666666666,2818510100.0,708968471.8760684
819,N,N,N,N,N,135,1순위,0,9.49,50.0,0.0149666666666666,0.0434333333333333,0.2623999999999999,0.1469,0.2583,0.0012666666666666,0.2727666666666666,2818510100.0,558977769.2964699
819,N,N,N,N,N,20,1순위,197,9.85,44.0,0.0149666666666666,0.0434333333333333,0.2623999999999999,0.1469,0.2583,0.0012666666666666,0.2727666666666666,2818510100.0,551977780.426662
819,N,N,N,N,N,2,1순위,26,13.0,32.0,0.0149666666666666,0.0434333333333333,0.2623999999999999,0.1469,0.2583,0.0012666666666666,0.2727666666666666,2818510100.0,583974634.2923839
819,N,N,N,N,N,94,1순위,0,12.01,50.0,0.0149666666666666,0.0434333333333333,0.2623999999999999,0.1469,0.2583,0.0012666666666666,0.2727666666666666,2818510100.0,638973343.1901095
819,N,N,N,N,N,16,1순위,202,12.63,50.0,0.0149666666666666,0.0434333333333333,0.2623999999999999,0.1469,0.2583,0.0012666666666666,0.2727666666666666,2818510100.0,631973358.0303656
819,N,N,N,N,N,106,1순위,0,27.7,60.0,0.0149666666666666,0.0434333333333333,0.2623999999999999,0.1469,0.2583,0.0012666666666666,0.2727666666666666,2818510100.0,724968497.8465164
819,N,N,N,N,N,38,1순위,478,12.58,51.0,0.0149666666666666,0.0434333333333333,0.2623999999999999,0.1469,0.2583,0.0012666666666666,0.2727666666666666,2818510100.0,719968523.8169644
702,N,N,Y,N,Y,13,1순위,21,1.62,27.0,0.2565333333333333,0.0845666666666666,0.5236666666666666,0.0015333333333333,0.0343333333333333,0.0977666666666666,0.0015333333333333,4143011000.0,591060000.0
800,N,N,N,Y,N,10,1순위,132,13.2,55.0,0.0974,0.2542333333333333,0.1107333333333333,0.0009666666666666,0.5347666666666666,0.0009333333333333,0.0009333333333333,1126010200.0,586960622.7848514
800,N,N,N,Y,N,15,1순위,217,14.47,51.0,0.0974,0.2542333333333333,0.1107333333333333,0.0009666666666666,0.5347666666666666,0.0009333333333333,0.0009333333333333,1126010200.0,574960634.8114386
800,N,N,N,Y,N,11,1순위,362,32.91,59.0,0.0974,0.2542333333333333,0.1107333333333333,0.0009666666666666,0.5347666666666666,0.0009333333333333,0.0009333333333333,1126010200.0,654955674.3371208
