공급지역코드,공급규모,투기과열지구,조정대상지역,분양가상한제,정비사업,공공주택지구,대규모택지개발지구,수도권내민영공공주택지구,공급세대수,순위,거주지역,접수건수,경쟁률,최저당첨가점,토픽 1,토픽 2,토픽 3,토픽 4,토픽 5,토픽 6,토픽 7,법정동코드,시세차익
100,299,Y,Y,Y,Y,N,N,N,13,1순위,해당지역,0,250.46,69.0,0.1959999999999999,0.3898333333333333,0.0815,0.1453,0.1762,0.0101,0.0010666666666666,1171010800.0,1090883026.8762283
100,299,Y,Y,Y,Y,N,N,N,11,1순위,해당지역,0,253.18,70.0,0.1959999999999999,0.3898333333333333,0.0815,0.1453,0.1762,0.0101,0.0010666666666666,1171010800.0,1083982193.9358063
100,299,Y,Y,Y,Y,N,N,N,3,1순위,해당지역,502,167.33,73.0,0.1959999999999999,0.3898333333333333,0.0815,0.1453,0.1762,0.0101,0.0010666666666666,1171010800.0,1084282193.9358063
410,1297,N,N,N,N,N,N,N,40,1순위,해당지역,152,3.8,43.0,0.1644333333333333,0.1468333333333333,0.0014666666666666,0.0404666666666666,0.5918,0.0015,0.0535,4157025324.0,578455427.999676
410,1297,N,N,N,N,N,N,N,16,1순위,해당지역,38,2.38,28.0,0.1644333333333333,0.1468333333333333,0.0014666666666666,0.0404666666666666,0.5918,0.0015,0.0535,4157025324.0,691446345.3331707
410,1297,N,N,N,N,N,N,N,383,1순위,해당지역,483,1.26,29.0,0.1644333333333333,0.1468333333333333,0.0014666666666666,0.0404666666666666,0.5918,0.0015,0.0535,4157025324.0,758340828.0671057
100,77,N,N,N,N,N,N,N,11,1순위,해당지역,35,3.18,30.0,0.2202333333333333,0.1858666666666666,0.0355666666666666,0.0009333333333333,0.3461666666666667,0.1961,0.0151666666666666,1174010900.0,731964437.5754538
100,77,N,N,N,N,N,N,N,1,1순위,해당지역,6,6.0,48.0,0.2202333333333333,0.1858666666666666,0.0355666666666666,0.0009333333333333,0.3461666666666667,0.1961,0.0151666666666666,1174010900.0,873964437.5754538
100,77,N,N,N,N,N,N,N,7,1순위,해당지역,9,1.29,22.0,0.2202333333333333,0.1858666666666666,0.0355666666666666,0.0009333333333333,0.3461666666666667,0.1961,0.0151666666666666,1174010900.0,734960777.4249473
100,77,N,N,N,N,N,N,N,2,1순위,해당지역,6,3.0,23.0,0.2202333333333333,0.1858666666666666,0.0355666666666666,0.0009333333333333,0.3461666666666667,0.1961,0.0151666666666666,1174010900.0,852960777.4249473
100,77,N,N,N,N,N,N,N,11,1순위,해당지역,36,3.27,34.0,0.2202333333333333,0.1858666666666666,0.0355666666666666,0.0009333333333333,0.3461666666666667,0.1961,0.0151666666666666,1174010900.0,715954932.5380152
100,77,N,N,N,N,N,N,N,1,1순위,해당지역,6,6.0,48.0,0.2202333333333333,0.1858666666666666,0.0355666666666666,0.0009333333333333,0.3461666666666667,0.1961,0.0151666666666666,1174010900.0,864954932.5380152
100,77,N,N,N,N,N,N,N,6,1순위,해당지역,50,8.33,43.0,0.2202333333333333,0.1858666666666666,0.0355666666666666,0.0009333333333333,0.3461666666666667,0.1961,0.0151666666666666,1174010900.0,911948865.8845799
100,77,N,N,N,N,N,N,N,1,1순위,해당지역,40,40.0,48.0,0.2202333333333333,0.1858666666666666,0.0355666666666666,0.0009333333333333,0.3461666666666667,0.1961,0.0151666666666666,1174010900.0,1297934588.0873601
