공급지역명,공급규모,투기과열지구,조정대상지역,분양가상한제,정비사업,공공주택지구,대규모택지개발지구,수도권내민영공공주택지구,거주지역,접수건수,경쟁률,최고당첨가점,토픽 1,토픽 2,토픽 3,토픽 4,토픽 5,토픽 6,토픽 7,기준금리,시세차익
서울,292,Y,Y,Y,Y,N,N,N,해당지역,3294.0,205.88,74.0,0.1792,0.5142666666666666,0.0012333333333333,0.3015666666666666,0.0012333333333333,0.0012333333333333,0.0012,3.5,2261238442.0373945
서울,292,Y,Y,Y,Y,N,N,N,해당지역,1168.0,233.6,84.0,0.1792,0.5142666666666666,0.0012333333333333,0.3015666666666666,0.0012333333333333,0.0012333333333333,0.0012,3.5,2860540767.3484755
서울,292,Y,Y,Y,Y,N,N,N,해당지역,2582.0,184.43,82.0,0.1792,0.5142666666666666,0.0012333333333333,0.3015666666666666,0.0012333333333333,0.0012333333333333,0.0012,3.5,2975439663.6145926
서울,292,Y,Y,Y,Y,N,N,N,해당지역,648.0,81.0,80.0,0.1792,0.5142666666666666,0.0012333333333333,0.3015666666666666,0.0012333333333333,0.0012333333333333,0.0012,3.5,3788112719.7120767
서울,292,Y,Y,Y,Y,N,N,N,해당지역,112.0,37.33,79.0,0.1792,0.5142666666666666,0.0012333333333333,0.3015666666666666,0.0012333333333333,0.0012333333333333,0.0012,3.5,3683611260.1552105
서울,292,Y,Y,Y,Y,N,N,N,해당지역,260.0,65.0,84.0,0.1792,0.5142666666666666,0.0012333333333333,0.3015666666666666,0.0012333333333333,0.0012333333333333,0.0012,3.5,4244104963.430603
서울,292,Y,Y,Y,Y,N,N,N,해당지역,315.0,78.75,79.0,0.1792,0.5142666666666666,0.0012333333333333,0.3015666666666666,0.0012333333333333,0.0012333333333333,0.0012,3.5,5199081440.745827
경기,100,N,N,N,N,N,N,N,해당지역,45.0,5.0,58.0,0.0010333333333333,0.0113,0.2596333333333333,0.0167333333333333,0.3289666666666667,0.1300666666666666,0.2523666666666667,3.5,366972864.63703465
경기,100,N,N,N,N,N,N,N,해당지역,101.0,5.61,64.0,0.0010333333333333,0.0113,0.2596333333333333,0.0167333333333333,0.3289666666666667,0.1300666666666666,0.2523666666666667,3.5,340972684.2388471
경기,100,N,N,N,N,N,N,N,해당지역,58.0,6.44,69.0,0.0010333333333333,0.0113,0.2596333333333333,0.0167333333333333,0.3289666666666667,0.1300666666666666,0.2523666666666667,3.5,369972752.97772837
경기,100,N,N,N,N,N,N,N,해당지역,54.0,5.4,59.0,0.0010333333333333,0.0113,0.2596333333333333,0.0167333333333333,0.3289666666666667,0.1300666666666666,0.2523666666666667,3.5,344972658.9168997
경기,100,N,N,N,N,N,N,N,해당지역,65.0,6.5,62.0,0.0010333333333333,0.0113,0.2596333333333333,0.0167333333333333,0.3289666666666667,0.1300666666666666,0.2523666666666667,3.5,376972725.6697458
서울,1,Y,Y,Y,Y,N,N,N,해당지역,35076.0,35076.0,84.0,0.1787,0.1162333333333333,0.0119333333333333,0.6000666666666666,0.0143666666666666,0.0020666666666666,0.0765333333333333,3.5,1956029931.885428
서울,74,N,N,N,N,N,N,N,해당지역,1057.0,81.31,69.0,0.0980666666666666,0.2402333333333333,0.0303333333333333,0.0006,0.6225999999999999,0.0075,0.0006,3.5,1367883276.4711196
서울,74,N,N,N,N,N,N,N,해당지역,1662.0,110.8,72.0,0.0980666666666666,0.2402333333333333,0.0303333333333333,0.0006,0.6225999999999999,0.0075,0.0006,3.5,1392883267.9547236
