공급규모,투기과열지구,조정대상지역,분양가상한제,정비사업,공공주택지구,대규모택지개발지구,수도권내민영공공주택지구,순위,거주지역,접수건수,경쟁률,토픽 1,토픽 2,토픽 3,토픽 4,토픽 5,토픽 6,토픽 7,법정동코드,기준금리,시세차익
299,Y,Y,Y,Y,N,N,N,1순위,해당지역,2785.0,253.18,0.1959999999999999,0.3898333333333333,0.0815,0.1453,0.1762,0.0101,0.0010666666666666,1171010800.0,3.5,1083982193.9358063
299,Y,Y,Y,Y,N,N,N,1순위,해당지역,502.0,167.33,0.1959999999999999,0.3898333333333333,0.0815,0.1453,0.1762,0.0101,0.0010666666666666,1171010800.0,3.5,1084282193.9358063
1297,N,N,N,N,N,N,N,1순위,해당지역,152.0,3.8,0.1644333333333333,0.1468333333333333,0.0014666666666666,0.0404666666666666,0.5918,0.0015,0.0535,4157025324.0,3.5,578455427.999676
1297,N,N,N,N,N,N,N,1순위,해당지역,38.0,2.38,0.1644333333333333,0.1468333333333333,0.0014666666666666,0.0404666666666666,0.5918,0.0015,0.0535,4157025324.0,3.5,691446345.3331707
1297,N,N,N,N,N,N,N,1순위,해당지역,483.0,1.26,0.1644333333333333,0.1468333333333333,0.0014666666666666,0.0404666666666666,0.5918,0.0015,0.0535,4157025324.0,3.5,758340828.0671057
77,N,N,N,N,N,N,N,1순위,해당지역,35.0,3.18,0.2202333333333333,0.1858666666666666,0.0355666666666666,0.0009333333333333,0.3461666666666667,0.1961,0.0151666666666666,1174010900.0,3.5,731964437.5754538
77,N,N,N,N,N,N,N,1순위,해당지역,6.0,6.0,0.2202333333333333,0.1858666666666666,0.0355666666666666,0.0009333333333333,0.3461666666666667,0.1961,0.0151666666666666,1174010900.0,3.5,873964437.5754538
77,N,N,N,N,N,N,N,1순위,해당지역,9.0,1.29,0.2202333333333333,0.1858666666666666,0.0355666666666666,0.0009333333333333,0.3461666666666667,0.1961,0.0151666666666666,1174010900.0,3.5,734960777.4249473
77,N,N,N,N,N,N,N,1순위,해당지역,6.0,3.0,0.2202333333333333,0.1858666666666666,0.0355666666666666,0.0009333333333333,0.3461666666666667,0.1961,0.0151666666666666,1174010900.0,3.5,852960777.4249473
77,N,N,N,N,N,N,N,1순위,해당지역,36.0,3.27,0.2202333333333333,0.1858666666666666,0.0355666666666666,0.0009333333333333,0.3461666666666667,0.1961,0.0151666666666666,1174010900.0,3.5,715954932.5380152
77,N,N,N,N,N,N,N,1순위,해당지역,6.0,6.0,0.2202333333333333,0.1858666666666666,0.0355666666666666,0.0009333333333333,0.3461666666666667,0.1961,0.0151666666666666,1174010900.0,3.5,864954932.5380152
77,N,N,N,N,N,N,N,1순위,해당지역,50.0,8.33,0.2202333333333333,0.1858666666666666,0.0355666666666666,0.0009333333333333,0.3461666666666667,0.1961,0.0151666666666666,1174010900.0,3.5,911948865.8845799
77,N,N,N,N,N,N,N,1순위,해당지역,40.0,40.0,0.2202333333333333,0.1858666666666666,0.0355666666666666,0.0009333333333333,0.3461666666666667,0.1961,0.0151666666666666,1174010900.0,3.5,1297934588.0873601
