지역,법정동,거래금액_2020,거래금액_2021,거래금액_2022,거래금액_2023,거래금액_2024,거래금액_2025
경기,구갈동,72845.67375886525,72650.0,69092.30769230769,64989.13043478261,63724.0,66911.66666666667
경기,구래동,50538.70967741936,50756.51162790698,38228.57142857143,42716.66666666666,45627.142857142855,43877.083333333336
경기,구미동,82861.76470588235,96444.44444444444,62966.66666666666,83192.85714285714,96225.26470588236,94702.85714285714
경기,구운동,29810.0,50220.0,27500.0,38700.0,38233.333333333336,45093.75
경기,군내면 구읍리,24700.0,28366.666666666668,30500.0,26337.5,27440.0,31940.0
경기,군내면 용정리,,,,23284.5,,
경기,군문동,14105.263157894737,19850.0,17700.0,20900.0,21700.0,19980.0
경기,군자동,,,,59166.66666666666,62150.0,68600.0
경기,권선동,43638.77551020408,41933.78378378379,43937.5,41974.62686567164,40983.954545454544,44742.40506329114
경기,궐동,19255.555555555555,14800.0,20566.666666666668,26962.5,23375.0,20953.846153846152
경기,금곡동,57633.509316770185,50691.66666666666,56983.333333333336,49356.944444444445,52316.0,67168.85245901639
경기,금광동,51623.52941176471,57125.0,46000.0,61890.0,81706.25,66020.58823529411
경기,금광면 신양복리,7857.0,13437.5,10950.0,10175.0,11228.57142857143,12775.0
경기,금릉동,16460.0,23500.0,,29866.666666666668,,19500.0
경기,금산동,8725.0,14000.0,12775.0,11500.0,12966.666666666666,16180.0
경기,금석동,5600.0,8297.5,8533.333333333334,9400.0,8500.0,9200.0
경기,금암동,35742.59259259259,48000.0,41500.0,41477.77777777778,38819.0,38850.0
경기,금오동,26231.396551724138,31695.0,30537.5,32158.33333333333,30753.846153846152,29733.33333333333
경기,금정동,30948.38383838384,50571.42857142857,36371.42857142857,33015.71428571428,38909.67741935484,38491.86046511628
경기,금촌동,21234.79381443299,24707.191489361703,22974.846153846152,24303.8,23079.6875,22810.869565217392
경기,기산동,40795.454545454544,53600.0,38325.0,36595.454545454544,44980.0,41016.66666666666
경기,기안동,19541.176470588234,34573.07692307692,31525.0,29569.23076923077,28940.90909090909,31027.272727272728
경기,김량장동,18343.75,14305.0,15618.75,14216.666666666666,19138.88888888889,24271.42857142857
경기,낙양동,44126.31578947369,55462.5,39000.0,40404.545454545456,39855.0,40731.25
경기,낙원동,9300.0,,,8000.0,,7500.0
경기,남동,,32200.0,,,,25450.0
경기,남면 신산리,4115.0,,,6000.0,3000.0,4800.0
경기,남사읍 아곡리,33200.0,54633.333333333336,33500.0,47450.0,37400.0,34562.5
경기,남사읍 완장리,35796.8085106383,41575.0,30675.0,38353.84615384616,38088.88888888889,31500.0
경기,남양읍,,,,46000.0,,
경기,남양읍 남양리,25693.939393939392,28509.090909090908,34375.0,23333.33333333333,32702.17391304348,30487.03703703704
경기,남양읍 무송리,14150.0,,,17000.0,17000.0,17500.0
경기,남양읍 신남리,19666.666666666668,30000.0,31576.0,33948.5,39000.0,37744.444444444445
경기,내삼미동,53818.181818181816,70000.0,45941.66666666666,53937.5,54060.0,53475.0
경기,내손동,77228.67132867133,80540.0,77625.0,81647.05882352941,75190.0,75741.86046511628
경기,녹양동,27581.70731707317,40722.22222222222,32140.0,32466.666666666668,26416.666666666668,29220.0
경기,논곡동,35083.333333333336,49400.0,,29000.0,36450.0,33500.0
경기,누읍동,12064.285714285714,15142.857142857143,11885.714285714286,17114.285714285714,10093.333333333334,18950.0
경기,능곡동,49456.0,67250.0,57000.0,51800.0,55535.71428571428,54000.0
경기,능동,47313.55140186916,59942.857142857145,37089.47368421053,44510.0,47970.3125,48268.29268292683
경기,능평동,50750.0,42000.0,39500.0,63250.0,44500.0,41500.0
경기,다산동,77895.87155963303,90514.28571428572,68048.83720930232,67120.14925373135,78720.0,74572.16981132075
경기,다율동,39393.333333333336,44733.333333333336,40370.6,41218.57142857143,39050.0,47117.307692307695
경기,단대동,69475.0,68800.0,71500.0,73710.0,78057.14285714286,75227.27272727272
경기,당동,37095.58823529412,43862.857142857145,,39582.608695652176,42032.5,44304.0
경기,당수동,26588.235294117647,36300.0,28412.5,23750.0,31900.0,30333.33333333333
경기,당왕동,18967.30769230769,23800.0,16000.0,19700.0,27960.0,31416.666666666668
경기,당정동,40052.17391304348,23700.0,36000.0,45340.0,45040.0,40854.545454545456
경기,대덕면 내리,6050.0,6216.666666666667,6278.571428571428,6025.0,5300.0,
경기,대덕면 신령리,19208.108108108107,29900.0,27500.0,22408.33333333333,23675.0,22127.272727272728
경기,대덕면 진현리,7625.0,12950.0,,14925.0,14500.0,11666.666666666666
경기,대야동,28121.0,38430.0,42642.5,47561.11111111111,47430.0,47700.0
경기,대야미동,38625.0,,,44800.0,45550.0,45416.66666666666
경기,대월면 사동리,17395.454545454544,15228.57142857143,15671.42857142857,22800.0,17300.0,15955.555555555557
경기,대월면 초지리,,17600.0,,17500.0,,17200.0
경기,대장동,,83500.0,,104366.66666666669,123700.0,175250.0
경기,대화동,39802.77777777778,57742.857142857145,152000.0,43700.0,37513.333333333336,41250.0
경기,덕계동,19930.978260869564,21841.666666666668,28883.33333333333,25823.809523809523,24233.33333333333,24857.8125
경기,덕은동,,,77660.0,101900.0,,106500.0
경기,덕이동,42288.37209302326,56250.0,58000.0,48546.66666666666,60885.71428571428,48271.875
경기,덕정동,22505.070422535213,33487.5,30042.85714285714,25216.666666666668,21677.777777777777,24761.53846153846
경기,덕풍동,65993.47826086957,76477.77777777778,64500.0,50361.53846153846,68835.71428571429,63213.10344827586
경기,도내동,69771.55172413793,69500.0,62000.0,58243.75,67120.0,67956.25
경기,도마교동,56320.0,68000.0,44333.333333333336,45425.0,47583.333333333336,57250.0
경기,도창동,24157.14285714286,35800.0,38000.0,,35000.0,24500.0
경기,도척면 진우리,16100.0,21500.0,,18500.0,18800.0,
경기,도촌동,76127.27272727272,92540.0,68000.0,,80000.0,77600.0
경기,독곡동,13600.0,21442.85714285714,21250.0,22500.0,17000.0,19850.0
경기,동두천동,15421.42857142857,,,22500.0,21966.666666666668,19625.0
경기,동백동,47086.84210526316,56100.0,49837.5,50307.142857142855,49252.38095238096,47545.454545454544
경기,동본동,,,16000.0,,,
경기,동삭동,36548.32692307692,55663.63636363636,43729.16666666666,45450.0,45311.22448979592,42290.769230769234
경기,동산동,79756.8,,70000.0,71333.33333333333,73000.0,75625.0
